file,full_path,language,num_functions,functions_defined,dependencies,dependency_files,dependency_with_functions,dependency_full_paths,dependents,dependent_files,dependent_with_functions,dependent_full_paths,total_connections,num_classes,classes_defined,global_variables,exports
DeleteCustomerCommandHandler.cs,Src\Application\Customers\Commands\DeleteCustomer\DeleteCustomerCommandHandler.cs,C#,2,DeleteCustomerCommandHandler; Handle,using MediatR;; using Northwind.Application.Common.Exceptions;; using Northwind.Application.Common.Interfaces;; using Northwind.Domain.Entities;; using System.Linq;; using System.Threading;; using System.Threading.Tasks;,Src/Application/Common/Exceptions; Src/Application/Common/Interfaces; Src/Domain/Entities,Src/Application/Common/Exceptions::[no functions]; Src/Application/Common/Interfaces::[no functions]; Src/Domain/Entities::[no functions],Src/Application/Common/Exceptions; Src/Application/Common/Interfaces; Src/Domain/Entities,,,,,3,1,DeleteCustomerCommandHandler,_context,DeleteCustomerCommandHandler
DeleteCustomerCommandValidator.cs,Src\Application\Customers\Commands\DeleteCustomer\DeleteCustomerCommandValidator.cs,C#,0,,using FluentValidation;,,,,,,,,0,1,DeleteCustomerCommandValidator,,DeleteCustomerCommandValidator
UpdateCustomerCommand.cs,Src\Application\Customers\Commands\UpdateCustomer\UpdateCustomerCommand.cs,C#,1,Handle,using MediatR;; using Microsoft.EntityFrameworkCore;; using Northwind.Application.Common.Exceptions;; using Northwind.Application.Common.Interfaces;; using Northwind.Domain.Entities;; using System.Threading;; using System.Threading.Tasks;,MediatR; Microsoft.EntityFrameworkCore; Northwind/Application/Common/Exceptions; Northwind/Application/Common/Interfaces; Northwind/Domain/Entities; System/Threading; System/Threading/Tasks,MediatR::[no functions]; Microsoft.EntityFrameworkCore::[no functions]; Northwind/Application/Common/Exceptions::[no functions]; Northwind/Application/Common/Interfaces::[no functions]; Northwind/Domain/Entities::[no functions]; System/Threading::[no functions]; System/Threading/Tasks::[no functions],MediatR; Microsoft.EntityFrameworkCore; Northwind/Application/Common/Exceptions; Northwind/Application/Common/Interfaces; Northwind/Domain/Entities; System/Threading; System/Threading/Tasks,,,,,7,2,UpdateCustomerCommand; Handler,,UpdateCustomerCommand
UpdateCustomerCommandValidator.cs,Src\Application\Customers\Commands\UpdateCustomer\UpdateCustomerCommandValidator.cs,C#,2,UpdateCustomerCommandValidator; HaveQueenslandLandLine,using FluentValidation;; using FluentValidation.Validators;,,,,,,,,0,1,UpdateCustomerCommandValidator,,UpdateCustomerCommandValidator
CustomerDetailVm.cs,Src\Application\Customers\Queries\GetCustomerDetail\CustomerDetailVm.cs,C#,1,Mapping,using AutoMapper;; using Northwind.Application.Common.Mappings;; using Northwind.Domain.Entities;,AutoMapper; Northwind/Application/Common/Mappings; Northwind/Domain/Entities,AutoMapper::[no functions]; Northwind/Application/Common/Mappings::[no functions]; Northwind/Domain/Entities::[no functions],AutoMapper; Northwind/Application/Common/Mappings; Northwind/Domain/Entities,,,,,3,1,CustomerDetailVm,,CustomerDetailVm
GetCustomerDetailQuery.cs,Src\Application\Customers\Queries\GetCustomerDetail\GetCustomerDetailQuery.cs,C#,0,,using MediatR;,,,,,,,,0,1,GetCustomerDetailQuery,,GetCustomerDetailQuery
GetCustomerDetailQueryHandler.cs,Src\Application\Customers\Queries\GetCustomerDetail\GetCustomerDetailQueryHandler.cs,C#,1,Handle,using AutoMapper;; using MediatR;; using Northwind.Application.Common.Exceptions;; using Northwind.Application.Common.Interfaces;; using Northwind.Domain.Entities;; using System.Threading;; using System.Threading.Tasks;,AutoMapper; MediatR; Northwind/Application/Common/Exceptions; Northwind/Application/Common/Interfaces; Northwind/Domain/Entities; System/Threading; System/Threading/Tasks,AutoMapper::[no functions]; MediatR::[no functions]; Northwind/Application/Common/Exceptions::[no functions]; Northwind/Application/Common/Interfaces::[no functions]; Northwind/Domain/Entities::[no functions]; System/Threading::[no functions]; System/Threading/Tasks::[no functions],AutoMapper; MediatR; Northwind/Application/Common/Exceptions; Northwind/Application/Common/Interfaces; Northwind/Domain/Entities; System/Threading; System/Threading/Tasks,,,,,7,1,GetCustomerDetailQueryHandler,,GetCustomerDetailQueryHandler
GetCustomerDetailQueryValidator.cs,Src\Application\Customers\Queries\GetCustomerDetail\GetCustomerDetailQueryValidator.cs,C#,0,,using FluentValidation;,,,,,,,,0,1,GetCustomerDetailQueryValidator,,GetCustomerDetailQueryValidator
CustomerLookupDto.cs,Src\Application\Customers\Queries\GetCustomersList\CustomerLookupDto.cs,C#,1,Mapping,using AutoMapper;; using Northwind.Application.Common.Mappings;; using Northwind.Domain.Entities;,Src/Application/Common/Mappings; Src/Domain/Entities,Src/Application/Common/Mappings::[no functions]; Src/Domain/Entities::[no functions],Src/Application/Common/Mappings; Src/Domain/Entities,,,,,2,1,CustomerLookupDto,,CustomerLookupDto
CustomersListVm.cs,Src\Application\Customers\Queries\GetCustomersList\CustomersListVm.cs,C#,0,,using System.Collections.Generic;,,,,,,,,0,1,CustomersListVm,,CustomersListVm
GetCustomersListQuery.cs,Src\Application\Customers\Queries\GetCustomersList\GetCustomersListQuery.cs,C#,0,,using MediatR;,,,,,,,,0,1,GetCustomersListQuery,,GetCustomersListQuery
GetCustomersListQueryHandler.cs,Src\Application\Customers\Queries\GetCustomersList\GetCustomersListQueryHandler.cs,C#,2,GetCustomersListQueryHandler; Handle,using AutoMapper;; using AutoMapper.QueryableExtensions;; using MediatR;; using Microsoft.EntityFrameworkCore;; using Northwind.Application.Common.Interfaces;; using System.Threading;; using System.Threading.Tasks;,AutoMapper; AutoMapper.QueryableExtensions; MediatR; Microsoft.EntityFrameworkCore; Northwind.Application.Common.Interfaces; System.Threading; System.Threading.Tasks,AutoMapper::[no functions]; AutoMapper.QueryableExtensions::[no functions]; MediatR::[no functions]; Microsoft.EntityFrameworkCore::[no functions]; Northwind.Application.Common.Interfaces::[no functions]; System.Threading::[no functions]; System.Threading.Tasks::[no functions],AutoMapper; AutoMapper.QueryableExtensions; MediatR; Microsoft.EntityFrameworkCore; Northwind.Application.Common.Interfaces; System.Threading; System.Threading.Tasks,,,,,7,1,GetCustomersListQueryHandler,,GetCustomersListQueryHandler
DependencyInjection.cs,Src\Application\DependencyInjection.cs,C#,1,AddApplication,using System.Reflection;; using AutoMapper;; using MediatR;; using Microsoft.Extensions.DependencyInjection;; using Northwind.Application.Common.Behaviours;,Northwind/Application/Common/Behaviours/RequestPerformanceBehaviour.cs; Northwind/Application/Common/Behaviours/RequestValidationBehavior.cs,Northwind/Application/Common/Behaviours/RequestPerformanceBehaviour.cs::[no functions]; Northwind/Application/Common/Behaviours/RequestValidationBehavior.cs::[no functions],Northwind/Application/Common/Behaviours/RequestPerformanceBehaviour.cs; Northwind/Application/Common/Behaviours/RequestValidationBehavior.cs,,,,,2,1,DependencyInjection,,DependencyInjection
DeleteEmployeeCommand.cs,Src\Application\Employees\Commands\DeleteEmployee\DeleteEmployeeCommand.cs,C#,1,Handle,using MediatR;; using Northwind.Application.Common.Exceptions;; using Northwind.Application.Common.Interfaces;; using Northwind.Domain.Entities;; using System.Threading;; using System.Threading.Tasks;,MediatR; Northwind/Application/Common/Exceptions; Northwind/Application/Common/Interfaces; Northwind/Domain/Entities; System/Threading; System/Threading/Tasks,MediatR::[no functions]; Northwind/Application/Common/Exceptions::[no functions]; Northwind/Application/Common/Interfaces::[no functions]; Northwind/Domain/Entities::[no functions]; System/Threading::[no functions]; System/Threading/Tasks::[no functions],MediatR; Northwind/Application/Common/Exceptions; Northwind/Application/Common/Interfaces; Northwind/Domain/Entities; System/Threading; System/Threading/Tasks,,,,,6,2,DeleteEmployeeCommand; DeleteEmployeeCommandHandler,,DeleteEmployeeCommand
UpsertEmployeeCommand.cs,Src\Application\Employees\Commands\UpsertEmployee\UpsertEmployeeCommand.cs,C#,1,Handle,using MediatR;; using Northwind.Application.Common.Interfaces;; using Northwind.Domain.Entities;; using System;; using System.Threading;; using System.Threading.Tasks;,MediatR; Northwind/Application/Common/Interfaces; Northwind/Domain/Entities; System; System/Threading; System/Threading/Tasks,MediatR::[no functions]; Northwind/Application/Common/Interfaces::[no functions]; Northwind/Domain/Entities::[no functions]; System::[no functions]; System/Threading::[no functions]; System/Threading/Tasks::[no functions],MediatR; Northwind/Application/Common/Interfaces; Northwind/Domain/Entities; System; System/Threading; System/Threading/Tasks,,,,,6,2,UpsertEmployeeCommand; UpsertEmployeeCommandHandler,,UpsertEmployeeCommand; UpsertEmployeeCommandHandler
EmployeeDetailVm.cs,Src\Application\Employees\Queries\GetEmployeeDetail\EmployeeDetailVm.cs,C#,1,Mapping,using AutoMapper;; using Northwind.Application.Common.Mappings;; using Northwind.Domain.Entities;; using System;; using System.Collections.Generic;,Src/Application/Common/Mappings; Src/Domain/Entities,Src/Application/Common/Mappings::[no functions]; Src/Domain/Entities::[no functions],Src/Application/Common/Mappings; Src/Domain/Entities,,,,,2,1,EmployeeDetailVm,,EmployeeDetailVm
EmployeeTerritoryDto.cs,Src\Application\Employees\Queries\GetEmployeeDetail\EmployeeTerritoryDto.cs,C#,1,Mapping,using AutoMapper;; using Northwind.Application.Common.Mappings;; using Northwind.Domain.Entities;,AutoMapper; Northwind/Application/Common/Mappings; Northwind/Domain/Entities,AutoMapper::[no functions]; Northwind/Application/Common/Mappings::[no functions]; Northwind/Domain/Entities::[no functions],AutoMapper; Northwind/Application/Common/Mappings; Northwind/Domain/Entities,,,,,3,1,EmployeeTerritoryDto,,EmployeeTerritoryDto
GetEmployeeDetailQuery.cs,Src\Application\Employees\Queries\GetEmployeeDetail\GetEmployeeDetailQuery.cs,C#,1,Handle,using AutoMapper;; using AutoMapper.QueryableExtensions;; using MediatR;; using Microsoft.EntityFrameworkCore;; using Northwind.Application.Common.Interfaces;; using System.Linq;; using System.Threading;; using System.Threading.Tasks;,AutoMapper; AutoMapper.QueryableExtensions; MediatR; Microsoft.EntityFrameworkCore; Northwind.Application.Common.Interfaces; System.Linq; System.Threading; System.Threading.Tasks,AutoMapper::[no functions]; AutoMapper.QueryableExtensions::[no functions]; MediatR::[no functions]; Microsoft.EntityFrameworkCore::[no functions]; Northwind.Application.Common.Interfaces::[no functions]; System.Linq::[no functions]; System.Threading::[no functions]; System.Threading.Tasks::[no functions],AutoMapper; AutoMapper.QueryableExtensions; MediatR; Microsoft.EntityFrameworkCore; Northwind.Application.Common.Interfaces; System.Linq; System.Threading; System.Threading.Tasks,,,,,8,2,GetEmployeeDetailQuery; GetEmployeeDetailQueryHandler,,GetEmployeeDetailQuery; GetEmployeeDetailQueryHandler
EmployeeLookupDto.cs,Src\Application\Employees\Queries\GetEmployeesList\EmployeeLookupDto.cs,C#,1,Mapping,using AutoMapper;; using Northwind.Application.Common.Mappings;; using Northwind.Domain.Entities;,AutoMapper; Northwind/Application/Common/Mappings; Northwind/Domain/Entities,AutoMapper::[no functions]; Northwind/Application/Common/Mappings::[no functions]; Northwind/Domain/Entities::[no functions],AutoMapper; Northwind/Application/Common/Mappings; Northwind/Domain/Entities,,,,,3,1,EmployeeLookupDto,,EmployeeLookupDto
EmployeesListVm.cs,Src\Application\Employees\Queries\GetEmployeesList\EmployeesListVm.cs,C#,0,,using System.Collections.Generic;,,,,,,,,0,1,EmployeesListVm,,EmployeesListVm
GetEmployeesListQuery.cs,Src\Application\Employees\Queries\GetEmployeesList\GetEmployeesListQuery.cs,C#,1,Handle,using AutoMapper;; using AutoMapper.QueryableExtensions;; using MediatR;; using Microsoft.EntityFrameworkCore;; using Northwind.Application.Common.Interfaces;; using System.Linq;; using System.Threading;; using System.Threading.Tasks;,AutoMapper; AutoMapper.QueryableExtensions; MediatR; Microsoft.EntityFrameworkCore; Northwind.Application.Common.Interfaces; System.Linq; System.Threading; System.Threading.Tasks,AutoMapper::[no functions]; AutoMapper.QueryableExtensions::[no functions]; MediatR::[no functions]; Microsoft.EntityFrameworkCore::[no functions]; Northwind.Application.Common.Interfaces::[no functions]; System.Linq::[no functions]; System.Threading::[no functions]; System.Threading.Tasks::[no functions],AutoMapper; AutoMapper.QueryableExtensions; MediatR; Microsoft.EntityFrameworkCore; Northwind.Application.Common.Interfaces; System.Linq; System.Threading; System.Threading.Tasks,,,,,8,2,GetEmployeesListQuery; GetEmployeesListQueryHandler,,GetEmployeesListQuery; GetEmployeesListQueryHandler
MessageDto.cs,Src\Application\Notifications\Models\MessageDto.cs,C#,0,,,,,,,Src\Application\Common\Interfaces\INotificationService.cs,Src\Application\Common\Interfaces\INotificationService.cs::[no functions],Src\Application\Common\Interfaces\INotificationService.cs,1,1,MessageDto,,MessageDto
CreateProductCommand.cs,Src\Application\Products\Commands\CreateProduct\CreateProductCommand.cs,C#,0,,using MediatR;,MediatR,MediatR::[no functions],MediatR,,,,,1,1,CreateProductCommand,,CreateProductCommand
CreateProductCommandHandler.cs,Src\Application\Products\Commands\CreateProduct\CreateProductCommandHandler.cs,C#,2,CreateProductCommandHandler; Handle,using System.Threading;; using System.Threading.Tasks;; using MediatR;; using Northwind.Application.Common.Interfaces;; using Northwind.Domain.Entities;,MediatR; Northwind/Application/Common/Interfaces; Northwind/Domain/Entities,MediatR::[no functions]; Northwind/Application/Common/Interfaces::[no functions]; Northwind/Domain/Entities::[no functions],MediatR; Northwind/Application/Common/Interfaces; Northwind/Domain/Entities,,,,,3,1,CreateProductCommandHandler,_context,CreateProductCommandHandler
DeleteProductCommand.cs,Src\Application\Products\Commands\DeleteProduct\DeleteProductCommand.cs,C#,0,,using MediatR;,,,,,,,,0,1,DeleteProductCommand,,DeleteProductCommand
DeleteProductCommandHandler.cs,Src\Application\Products\Commands\DeleteProduct\DeleteProductCommandHandler.cs,C#,1,Handle,using System.Linq;; using System.Threading;; using System.Threading.Tasks;; using MediatR;; using Northwind.Application.Common.Exceptions;; using Northwind.Application.Common.Interfaces;; using Northwind.Domain.Entities;,System.Linq; System.Threading; System.Threading.Tasks; MediatR; Northwind.Application.Common.Exceptions; Northwind.Application.Common.Interfaces; Northwind.Domain.Entities,System.Linq::[no functions]; System.Threading::[no functions]; System.Threading.Tasks::[no functions]; MediatR::[no functions]; Northwind.Application.Common.Exceptions::[no functions]; Northwind.Application.Common.Interfaces::[no functions]; Northwind.Domain.Entities::[no functions],System.Linq; System.Threading; System.Threading.Tasks; MediatR; Northwind.Application.Common.Exceptions; Northwind.Application.Common.Interfaces; Northwind.Domain.Entities,,,,,7,1,DeleteProductCommandHandler,_context,DeleteProductCommandHandler
UpdateProductCommand.cs,Src\Application\Products\Commands\UpdateProduct\UpdateProductCommand.cs,C#,0,,using MediatR;,,,,,,,,0,1,UpdateProductCommand,,UpdateProductCommand
UpdateProductCommandHandler.cs,Src\Application\Products\Commands\UpdateProduct\UpdateProductCommandHandler.cs,C#,1,Handle,using System.Threading;; using System.Threading.Tasks;; using MediatR;; using Northwind.Application.Common.Exceptions;; using Northwind.Application.Common.Interfaces;; using Northwind.Domain.Entities;,System/Threading; System/Threading/Tasks; MediatR; Northwind/Application/Common/Exceptions; Northwind/Application/Common/Interfaces; Northwind/Domain/Entities,System/Threading::[no functions]; System/Threading/Tasks::[no functions]; MediatR::[no functions]; Northwind/Application/Common/Exceptions::[no functions]; Northwind/Application/Common/Interfaces::[no functions]; Northwind/Domain/Entities::[no functions],System/Threading; System/Threading/Tasks; MediatR; Northwind/Application/Common/Exceptions; Northwind/Application/Common/Interfaces; Northwind/Domain/Entities,,,,,6,1,UpdateProductCommandHandler,_context,UpdateProductCommandHandler
GetProductDetailQuery.cs,Src\Application\Products\Queries\GetProductDetail\GetProductDetailQuery.cs,C#,0,,using MediatR;,,,,,,,,0,1,GetProductDetailQuery,,GetProductDetailQuery
GetProductDetailQueryHandler.cs,Src\Application\Products\Queries\GetProductDetail\GetProductDetailQueryHandler.cs,C#,1,Handle,using AutoMapper;; using AutoMapper.QueryableExtensions;; using Microsoft.EntityFrameworkCore;; using Northwind.Application.Common.Exceptions;; using Northwind.Application.Common.Interfaces;; using Northwind.Domain.Entities;; using System.Threading;; using System.Threading.Tasks;,AutoMapper; AutoMapper.QueryableExtensions; Microsoft.EntityFrameworkCore; Northwind.Application.Common.Exceptions; Northwind.Application.Common.Interfaces; Northwind.Domain.Entities; System.Threading; System.Threading.Tasks,AutoMapper::[no functions]; AutoMapper.QueryableExtensions::[no functions]; Microsoft.EntityFrameworkCore::[no functions]; Northwind.Application.Common.Exceptions::[no functions]; Northwind.Application.Common.Interfaces::[no functions]; Northwind.Domain.Entities::[no functions]; System.Threading::[no functions]; System.Threading.Tasks::[no functions],AutoMapper; AutoMapper.QueryableExtensions; Microsoft.EntityFrameworkCore; Northwind.Application.Common.Exceptions; Northwind.Application.Common.Interfaces; Northwind.Domain.Entities; System.Threading; System.Threading.Tasks,,,,,8,1,GetProductDetailQueryHandler,,GetProductDetailQueryHandler
ProductDetailVm.cs,Src\Application\Products\Queries\GetProductDetail\ProductDetailVm.cs,C#,1,Mapping,using AutoMapper;; using Northwind.Application.Common.Mappings;; using Northwind.Domain.Entities;,AutoMapper; Northwind/Application/Common/Mappings; Northwind/Domain/Entities,AutoMapper::[no functions]; Northwind/Application/Common/Mappings::[no functions]; Northwind/Domain/Entities::[no functions],AutoMapper; Northwind/Application/Common/Mappings; Northwind/Domain/Entities,,,,,3,1,ProductDetailVm,,ProductDetailVm
GetProductsFileQuery.cs,Src\Application\Products\Queries\GetProductsFile\GetProductsFileQuery.cs,C#,0,,using MediatR;,,,,,,,,0,1,GetProductsFileQuery,,GetProductsFileQuery
